,id,date,image_src,content
33,Zainab Imran,0:03,"background-image: url(""https://i1.sndcdn.com/avatars-000769613488-l1x5kk-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",pop
34,heartsong naomy💖,0:05,"background-image: url(""https://i1.sndcdn.com/avatars-HEt6uCT2tf4hngMd-ynudnA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",wow
35,Xx_WolfieChloé_xX,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-IK43skR7lM2oxO2B-Wlo7wg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Why is her voice soooo good? 😭🤩
36,Nathalie Villanueva,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-000620303556-2qd977-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@user-252555049 I know right
37,amer,0:58,"background-image: url(""https://i1.sndcdn.com/avatars-000294164854-5iet5l-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",dont get a son that start that good and it's that bad
38,Lily Brown,1:07,"background-image: url(""https://i1.sndcdn.com/avatars-000788307064-yklygn-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",this song is the best
39,nilotey,0:17,width:40px;height:40px;,🔥🔥🔥
40,uwubastard,1:24,"background-image: url(""https://i1.sndcdn.com/avatars-ILsfv9smxeCJZFtQ-p46byQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",uwu
41,Lupe Fetui,0:07,"background-image: url(""https://i1.sndcdn.com/avatars-000079066921-0bezw1-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",omg I loveeeeeeeeeeeeeeeb this song ehhh I just don't know why????
42,vojta59,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-000818999323-8jwqwe-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",NICE
43,Jessica Chidinma,2:10,"background-image: url(""https://i1.sndcdn.com/avatars-000545297160-ujyk7m-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Baby you're not dancing on your own❤
44,Night_Psycho(*o*),2:16,"background-image: url(""https://i1.sndcdn.com/avatars-PXAHT8R9z7zytIXq-t4DDrg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Ok this is epicccc
45,Night_Psycho(*o*),2:02,"background-image: url(""https://i1.sndcdn.com/avatars-PXAHT8R9z7zytIXq-t4DDrg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",A royalty high???????
